NO,SAMPLE_ID,식품코드,DB군,상용제품,식품명,연도,지역 / 제조사,채취시기,식품대분류,식품상세분류,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),자당(g),포도당(g),과당(g),유당(g),맥아당(g),총 식이섬유(g),칼슘(㎎),철(㎎),철(㎍),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍),레티놀(㎍),베타카로틴(㎍),비타민 D3(㎍),토코페롤(㎎),토코트리에놀(㎎),비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),엽산(DFE)(㎍),비타민 B12(㎍),비타민 C(㎎),총 아미노산(㎎),이소류신(㎎),류신(㎎),라이신(㎎),메티오닌(㎎),페닐알라닌(㎎),트레오닌(㎎),발린(㎎),히스티딘(㎎),아르기닌(㎎),티로신(㎎),시스테인(㎎),알라닌(㎎),아스파르트산(㎎),글루탐산(㎎),글리신(㎎),프롤린(㎎),세린(㎎),콜레스테롤(㎎),총 포화 지방산(g),부티르산(4:0)(g),카프로산(6:0)(g),카프릴산(8:0)(g),카프르산(10:0)(g),라우르산(12:0)(g),미리스트산(14:0)(g),팔미트산(16:0)(g),스테아르산(18:0)(g),아라키드산(20:0)(g),미리스톨레산(14:1)(g),팔미톨레산(16:1)(g),올레산(18:1(n-9))(g),박센산(18:1(n-7))(g),가돌레산(20:1)(g),리놀레산(18:2(n-6)c)(g),알파 리놀렌산(18:3(n-3))(g),감마 리놀렌산(18:3(n-6))(g),에이코사디에노산(20:2(n-6))(g),아라키돈산(20:4(n-6))(g),에이코사트리에노산(20:3(n-6))(g),에이코사펜타에노산(20:5(n-3))(g),도코사펜타에노산(22:5(n-3))(g),도코사헥사에노산(22:6(n-3))(g),트랜스 지방산(g),트랜스 올레산(18:1(n-9)t)(g),트랜스 리놀레산(18:2t)(g),트랜스 리놀렌산(18:3t)(g),회분(g),카페인(㎎),성분표출처,발행기관
248,D000422-ZZ-AVG,D000422,음식,품목대표,조기찜,2019,전국(대표),평균,찜류,어패류찜,100,g,-,-,182.12,65.01,20.06,10.59,1.64,0,0,0,0,0,0,0.39,121.22,-,0.48,41.44,226.76,262.37,602.03,0.63,0.02,0.03,65.56,270.55,0,-,0.93,0,0,0.2,0.32,25.79,0,0.43,-,774.11,1414.88,1561.45,559.53,729.14,868.98,881.45,341.32,1223.32,603.03,198.91,1117.49,1825.75,2784.15,110.45,670.19,755.39,138.43,2.85,0,0,0,0,0,0.3,2.1,0.4,0,0,0.9,1.6,0.3,0.1,0.2,0.1,0,0,0,0,0.5,0.2,1.3,0.08,0,0,0,2.69,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
249,D000424-ZZ-AVG,D000424,음식,품목대표,참꼬막,2019,전국(대표),평균,찜류,어패류찜,80,g,-,-,90.79,59.03,12.47,2.5,4.59,0,0,0,0,0,0,1.74,62.66,-,9.61,48.13,125.29,149.35,234.16,1.87,0.09,0.84,45.6,24.37,81.61,-,0.5,0,0.1,0.14,1.6,41.3,0,0,-,452.15,828.95,865.49,244.15,482.35,563.94,518.25,237.27,1231.45,422.59,182.2,690.86,1291.08,1668.5,23.36,405.72,559.21,65.03,0.38,0,0,0,0,0,0.1,0.2,0.1,0,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0.2,0,0.1,0.02,0,0,0,1.41,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
250,D000425-ZZ-AVG,D000425,음식,품목대표,한방오리백숙,2019,전국(대표),평균,찜류,육류찜,300,g,-,-,469.53,205.6,68.79,20.1,3.36,0.35,0.16,0,0.19,0,0,7.28,89.86,-,6.13,54.29,443.14,345.57,276.43,5.93,0.51,0.18,0,30.84,5.24,-,2.29,0.1,0.33,0.73,5.02,0,0,0,-,2855.9,5787.58,5887.48,1870.33,2878.3,3234.52,3034.63,1717.45,4596.25,2359.55,424.15,4074.86,6447.8,10495.52,3407.72,2767,2919.79,372.07,6.39,0,0,0,0,0,0.2,4.7,1.5,0,0,0.7,8,0.4,0.1,2.9,0.2,0,0,0.1,0.4,0,0,0,0.14,0.1,0,0,2.14,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
251,D000426-ZZ-AVG,D000426,음식,품목대표,해물찜,2019,전국(대표),평균,찜류,어패류찜,500,g,-,-,400.08,402.8,42.6,9.8,35.4,5.5,0.2,1,2.1,0,2.3,10.5,566,-,8,188.82,585.88,1126.41,2137.21,4.85,1.27,1.23,167.65,34.66,2075.83,-,13.27,0.09,0.06,0.35,0.15,120.27,14.75,0,-,1530.58,2917.62,3083.66,777.63,1598.44,2015.17,1699.16,846.28,3112.32,1335.52,459.32,2327.41,4790.69,6598.79,2483.12,1863.7,1867.37,419.16,1.5,0,0,0,0,0,0.07,1.07,0.35,0.03,0,0.13,1.3,0.15,0.07,2.45,0.51,0.01,0.02,0,0.08,0.38,0.04,0.53,0,0.01,0.01,0.02,9.4,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
252,D000427-ZZ-AVG,D000427,음식,품목대표,홍어찜,2019,전국(대표),평균,찜류,어패류찜,250,g,-,-,202.67,196.09,47.12,1.03,1.22,1.22,0.14,0,0.64,0,0.44,2.08,643.02,-,1.2,71.16,620.44,514.7,644.96,1.53,0.19,0.25,0,9.07,204.03,-,1.26,0.02,0,0.07,8.66,0,0,1.48,-,1614.04,2753.18,3121.56,1092.99,1510.57,1808.91,1678.67,853.84,2758.55,1257.24,455.35,2649.32,3742.58,5790.01,2661.69,1708.67,1813.62,235.12,0.34,0,0,0,0,0,0,0.3,0.1,0,0,0,0.2,0.1,0,0.3,0,0,0,0,0,0.1,0,0.2,0.01,0,0,0,4.54,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
253,D000428-51-AVG,D000428,음식,품목대표,갈낙탕,2019,영암,평균,국 및 탕류,육류국.탕,400,g,-,-,261.77,347.6,35.8,12.8,0.8,1.3,0.3,0.5,0.5,0,0,3.8,48.37,-,2.96,71.96,234.83,278.17,847.97,11.26,3.91,0.18,97.57,25.16,165.8,-,2.47,0.04,0,0.31,1.34,19.72,0,0,-,1439.33,2779.47,3008.97,897.65,1434.94,1676.93,1555.36,863.16,2863.97,1273.83,476.84,2080.11,3495.02,6035.24,2237.45,1746.91,1636.1,209.08,5.8,0,0,0,0.01,0.02,0.42,3.47,1.87,0.02,0.1,0.53,5.63,0.24,0.06,0.37,0.03,0.01,0.01,0.02,0.1,0.12,0.03,0.12,0.4,0.31,0.11,0.02,3,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
254,D000432-114-AVG,D000432,음식,품목대표,곰탕,2019,나주,평균,국 및 탕류,육류국.탕,300,g,-,-,183.25,256.5,19.4,3.7,18.1,0.5,0,0.2,0.3,0,0,2.2,15.65,-,2.49,33.61,136.37,209.91,716.36,4.94,0.11,0.18,18.83,0,27.65,-,0.32,0.02,0,0.17,1.95,13.87,0,0,-,706.52,1534.04,1681.71,454.72,788.82,819.31,825.13,532.67,1271,593.06,212.87,1267.48,1855.89,3729.86,1306.71,1012.55,833.64,50.41,1.5,0,0,0,0.01,0.01,0.12,0.96,0.45,0,0.04,0.17,1.54,0.08,0.01,0.25,0.01,0,0,0.01,0.04,0,0.01,0,0.1,0.05,0.02,0,2.3,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
255,D000433-ZZ-AVG,D000433,음식,품목대표,광어매운탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,419.79,506.33,58.42,16.62,9.13,1.42,0.09,0.24,0.97,0,0.13,4.3,865.61,-,2.55,109.27,949.72,1111.07,1799.02,3.64,0.35,1.42,0,637.28,1463.75,-,7.52,0.42,0.21,0.91,8.18,0,0,0,-,2351.63,4323.22,5105.56,1536.98,2342.56,2675.43,2738.84,1379.95,4012.62,1955.51,439.42,3698.99,6337.96,9662.09,3822.64,2619.98,2678.73,375.05,3.04,0,0,0,0,0,0.5,2.1,0.4,0,0,0.9,2,0.5,0.2,0.9,0.2,0,0.1,0,0.1,0.7,0.3,1.9,0.08,0,0,0,9.5,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
256,D000436-ZZ-AVG,D000436,음식,품목대표,낙지탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,187.8,550.7,29.4,3.2,10.4,1.9,0.2,0.4,1.3,0,0,3.6,110.82,-,2.16,110.42,313.69,642.18,1704.69,5.79,2.41,0.45,107.64,8.76,183.16,-,3.05,0.01,0.33,0.22,0.52,44.06,4.27,0,-,1038.5,2025.81,2000.09,658.76,1079.81,1464.96,1051.2,589.3,2400.79,1041.42,319.6,1473.71,2958.13,4858.26,1702.43,1130.36,1376.76,292.42,0.4,0,0,0,0,0,0.02,0.29,0.13,0,0,0.02,0.15,0.04,0.05,0.24,0.05,0,0.01,0,0.08,0.2,0.02,0.21,0,0,0,0,6.4,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
257,D000440-ZZ-AVG,D000440,음식,품목대표,대구매운탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,361.75,510.13,57.36,7.21,16.84,1.09,0.08,0.28,0.73,0,0,8.84,439.39,-,2.59,100.29,690.72,988.32,1983.9,2.88,0.39,0.79,0,89.98,887.32,-,7.51,0.09,0.76,0.41,8.3,0,0,0.83,-,2150.57,4090.55,4719.59,1443.67,2145.52,2452.91,2546.87,1175.55,3909.35,1889.02,375.64,3408.26,5910.59,9409.93,3137.53,2370.02,2618,516.74,0.97,0,0,0,0,0,0.1,0.7,0.2,0,0,0.1,0.6,0.2,0.1,0.9,0.1,0,0,0,0.1,0.3,0,0.7,0.03,0,0,0,8.45,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
258,D000441-ZZ-AVG,D000441,음식,품목대표,대구지리탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,262.02,535.4,41.6,6.2,9.9,1.5,0.2,0.5,0.7,0,0,4.3,342.1,-,1.63,95.17,531.74,853.62,1476.25,2,0.24,0.42,153.91,446.89,79.11,-,2.89,0,0.13,0.19,0.38,88.07,6.23,0.27,-,1425.77,2906.24,3407.54,1105.98,1563.1,1778.34,1701.69,803.35,2900.41,1438.15,343.84,2352.31,4076.97,6597.17,2419.76,1449.6,1825.97,283.08,1.1,0,0,0,0,0,0.09,0.77,0.23,0,0,0.25,0.87,0.27,0.09,0.41,0.09,0,0.02,0,0.07,0.57,0.06,0.99,0.1,0.03,0.01,0.05,6.9,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
259,D000443-ZZ-AVG,D000443,음식,품목대표,메기매운탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,400,504.8,28.6,10.2,48.6,5.7,0.4,2.4,1.8,0,1,10.4,396.38,-,3.77,102.24,451.7,1042.47,1859.96,2.23,0.33,1.06,0.05,18.93,1580.33,-,6.59,0.36,0.52,0.4,3.18,80.19,1.14,3.1,-,1027.88,1888.59,2002.25,464.17,1060.93,1121.08,1189.95,562.33,1700.89,726.67,151.01,1592.59,2602.58,5534.28,1895.47,1268.41,1085.35,137.36,2.9,0,0,0,0,0,0.3,2.1,0.5,0,0,0.8,2.9,0.4,0.3,2,0.7,2,0.1,0,0.1,0.3,0.1,0.8,0.2,0,0,0.1,7.8,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
260,D000444-ZZ-AVG,D000444,음식,품목대표,복지리탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,232.05,540.1,41.7,2.7,10.3,1.4,0,0,1.3,0,0,5.3,242.25,-,1.3,71.97,362.9,612.47,1349.98,6.21,0.14,0.35,74.94,0,219.27,-,1.91,0.02,0.06,0.31,2.26,56.34,0,0,-,1281.51,2682.46,3063.65,1032.49,1436.8,1669.05,1530.21,819.9,2598.72,1259.32,404.81,2344.69,4091.87,6552.37,2665.8,1638.69,1678.65,209.78,0.4,0,0,0,0,0,0.01,0.26,0.13,0,0,0.02,0.25,0.03,0.01,0.3,0.08,0,0,0,0.06,0.06,0.05,0.28,0,0,0,0,5.2,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
261,D000447-ZZ-AVG,D000447,음식,품목대표,소탕,2019,전국(대표),평균,국 및 탕류,육류국.탕,150,g,-,-,86.37,133.44,7.66,5.35,1.9,0.03,0,0,0.03,0,0,1.79,82.54,-,0.98,39.88,115.2,157.78,353.59,0.79,0.13,0.54,9.05,0,0,-,3.8,0,0.18,0.04,0.48,6.93,0,0,-,266.58,560.36,428.42,68.09,363.44,283.59,271.07,178.2,510.15,280.38,81.53,311.14,830.5,1438.53,28.68,358.68,397.48,0,0.58,0,0,0,0,0,0,0.4,0.2,0,0,0,0.8,0.1,0.3,1.9,0.3,0,0,0,0,0,0,0,0.01,0,0,0,1.65,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
262,D000448-ZZ-AVG,D000448,음식,품목대표,아구탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,246.07,537.1,37.8,4.9,12.8,1.8,0.4,0.2,1.3,0,0,6.4,297.49,-,2.93,102.94,429.94,877.53,1863.34,2.69,0.26,0.56,128.34,170.4,865.06,-,4.02,0.05,0.11,0.36,0.7,75.4,7.27,0,-,1310.48,2585.58,3009.34,928.79,1393.28,1687.06,1564.29,766.84,2458.19,1238.2,381.41,2242.71,3918.08,6094.44,2621.93,1655.9,1768.41,318.93,0.8,0,0,0,0,0,0.08,0.54,0.14,0.01,0,0.19,0.41,0.1,0.05,0.42,0.1,0,0.01,0,0.06,0.19,0.03,0.44,0,0.01,0,0.01,7.5,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
263,D000450-ZZ-AVG,D000450,음식,품목대표,어탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,150,g,-,-,85.87,130.31,12.7,3.09,1.82,0,0,0,0,0,0,1.02,79.37,-,3.88,46.63,209.31,163.28,485.08,1.57,0.09,0.41,56.62,13.19,21.81,-,0.94,0,0.16,0.2,0.41,19.94,0,0,-,467.2,874.33,1019.72,287.48,495.05,594.24,524.81,255.27,926.75,474.6,166.79,627.25,1251.66,1769.74,48.79,504.16,642.54,52.57,0.44,0,0,0,0,0,0,0.3,0.1,0,0,0.1,0.2,0,0,0.3,0,0,0,0,0,0.2,0,0.2,0.01,0,0,0,2.09,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
264,D000451-ZZ-AVG,D000451,음식,품목대표,연포탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,1000,g,-,-,541.64,864.78,94.9,9.03,20.19,0.23,0,0,0.23,0,0,14.39,551.19,-,10.45,242.48,830.72,1033.98,2337.46,17.96,10.75,1.37,0,68.89,1166.94,-,11.58,0.18,0,0.87,4.4,0,0,5.37,-,3626.09,6791.67,6548.14,2045.27,3605.07,4201.57,3673.43,1952.48,7434.69,3058.08,641.2,4637.66,9141.32,13909.18,5396.98,3525.15,4414.36,1057.46,1.75,0,0,0,0,0,0.1,1.1,0.5,0,0,0.1,0.5,0.2,0.2,0.7,0.2,0,0,0,0.3,0.8,0.1,1,0.08,0,0,0.1,11.09,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
265,D000453-ZZ-AVG,D000453,음식,품목대표,우럭매운탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,406.82,510.56,52.15,17.03,11.24,1.08,0.08,0.28,0.62,0,0.09,7.93,778.74,-,2.57,103.8,785.86,995.89,1773.88,3.53,0.23,0.73,0,750.39,1170.24,-,5.97,0.07,0.19,0.62,6.57,0,0,0.56,-,1958.03,3583.85,4252.07,1258.67,1991.28,2198.62,2235.35,1097.24,3514.8,1642.84,386.21,3061.66,5409.42,8340.54,3122.21,2153.25,2253.51,362.77,2.97,0,0,0,0,0,0.4,2,0.5,0,0,1,2.4,0.6,0.2,1.1,0.2,0,0.1,0,0.2,1,0.1,1.7,0.08,0,0,0,9.03,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
266,D000454-ZZ-AVG,D000454,음식,품목대표,육탕,2019,전국(대표),평균,국 및 탕류,육류국.탕,150,g,-,-,87.63,131.68,12.66,3.95,0.35,0,0,0,0,0,0,2.18,26.28,-,1.28,15.7,73.65,180.73,356.94,2.72,0.03,0.14,12.23,7.45,0,-,0.63,0,0.08,0.09,1.14,8.18,0,0,-,444.53,866.44,881.12,245.46,444.42,498.41,472.36,285.57,710.99,394.87,118.07,615.48,1001.69,1771.29,85.17,467.12,456.27,43.79,1.71,0,0,0,0,0,0.1,1,0.6,0,0,0.2,1.6,0.1,0,0.4,0,0,0,0,0,0,0,0,0.18,0.1,0,0,1.35,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
267,D000456-ZZ-AVG,D000456,음식,품목대표,전복탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,196.85,548,26.8,3,15.8,1.3,0,0.5,0.8,0,0,6,163.14,-,17.33,119.6,292.58,652.38,1774.4,3.16,1.27,0.57,64.25,0,773.3,-,3.4,0,0.26,0.33,2.16,75.46,7.31,0.33,-,790.54,1591.89,1468.15,482.49,847.84,1107.67,927.18,403.14,2319.09,788.83,317.8,1320.19,2413.03,4167.92,1902.38,1078.14,1258.28,291.38,0.6,0,0,0,0,0,0.09,0.41,0.11,0,0,0.03,0.32,0.1,0.02,0.49,0.1,0.04,0.01,0,0.13,0.11,0.07,0.02,0,0,0,0,6.5,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
268,D000457-ZZ-AVG,D000457,음식,품목대표,조기매운탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,384.38,517.1,35.1,19.4,17.3,4.3,0.5,1.6,1.6,0,0.6,12.2,1132.66,-,2.77,137.08,837.14,1027.7,2272.92,2.41,0.29,0.76,158.05,814.66,912.58,-,4.99,0,0.21,0.34,0.19,106.5,10.25,0.6,-,1179.34,2430.42,2819.66,803.64,1354.38,1566.99,1430.54,673.03,2366.79,1120.91,283.7,2088.87,3615.97,6051.16,2154.9,1450.82,1476.6,274.17,4.8,0,0,0,0,0.02,0.52,3.59,0.67,0.05,0.01,1.53,3.16,0.44,0.19,1.19,0.28,0.02,0.03,0.03,0.18,0.71,0.18,1.65,0.1,0.03,0.03,0.02,11,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
269,D000458-115-AVG,D000458,음식,품목대표,짱뚱어탕,2019,순천,평균,국 및 탕류,어패류국.탕,600,g,-,-,188.77,556.7,11.5,8.5,16.6,2.4,0,1.5,0.9,0,0,8.4,329.1,-,3.19,74.21,269.78,532.54,2050.9,1.65,0.35,1.13,20.09,24.91,2479.64,-,6.77,0.07,0.55,0.17,0,34.42,0,0,-,331.46,705.44,611.36,117.81,449.77,409.67,424.73,220.07,748.65,336.27,111.2,549.58,990.64,3319.24,591.58,481.08,495.58,22.22,0.9,0,0,0,0,0,0.05,0.64,0.2,0.01,0,0.14,0.9,0.12,0.01,1.09,2.07,0,0,0,0,0.1,0.04,0.03,0,0.01,0.01,0,6.7,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
270,D000460-116-AVG,D000460,음식,품목대표,추어탕,2019,남원,평균,국 및 탕류,어패류국.탕,1000,g,-,-,316.72,928,22.7,13.2,26.8,0,0,0,0,0,0,18.5,560.37,-,5.49,150.46,499.44,869.76,2635.78,3.11,0.66,1.48,34.32,0,4235.01,-,12.92,0,0.45,0.38,2.08,101.65,0,0,-,693.11,1499.32,1488.09,256.74,884.74,852.47,877.12,457.95,1419.57,680.49,281.84,1254.47,2181.2,6091.07,1220.75,950.31,1000.24,90.31,1.9,0,0,0,0,0,0.06,1.45,0.39,0.02,0,0.13,2.29,0.21,0.04,2.74,4.93,0.04,0.03,0.02,0.02,0.02,0.03,0.1,0,0,0,0,9.3,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
271,D000461-ZZ-AVG,D000461,음식,품목대표,해물탕,2019,전국(대표),평균,국 및 탕류,어패류국.탕,600,g,-,-,267.81,530.4,39.8,4.7,16.6,0.8,0,0.3,0.4,0,0,6,492.95,-,6.62,172.87,552.25,941.72,2046.24,7.6,1.47,1.18,189.14,26.22,830.8,-,7.23,0.07,0.13,0.31,1.87,97.17,18.42,0,-,1284.4,2522.24,2559.54,785.28,1367.87,1749.48,1415.32,716.85,2628.9,1235.74,751,2005.6,3561.48,5506.77,2070.21,1427.45,1596.34,469.49,0.8,0,0,0,0,0,0.06,0.6,0.15,0.01,0,0.09,0.33,0.09,0.07,0.4,0.06,0.02,0.01,0.01,0.07,0.34,0.04,0.5,0,0.01,0,0,8.5,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
272,D000463-ZZ-AVG,D000463,음식,품목대표,고구마맛탕,2019,전국(대표),평균,튀김류,채소류튀김,200,g,-,-,491,88.7,3.3,11,94.6,38.7,13.8,3.3,1.6,0,20,9,66.97,-,1.23,61.87,152.37,927.91,76.93,0.59,0.32,1.05,7.72,0,441.23,-,8.27,0.05,0.19,0.09,2.08,84.62,0,1.92,-,113.79,190.76,126.28,49.97,168.13,152.59,164.07,62.77,110.89,49.6,8.68,181.89,610.22,386.41,134.02,128.92,186.02,0,1.9,0,0,0,0,0,0,1.3,0.4,0,0,0,2.6,0.1,0,4.7,0.5,0,0,0,0,0,0,0,0,0,0,0,2.4,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
273,D000464-ZZ-AVG,D000464,음식,품목대표,고구마튀김,2019,전국(대표),평균,튀김류,채소류튀김,100,g,-,-,252.96,50.47,2.72,11.87,33.8,7.72,2.43,0.02,0.55,0,4.71,2.05,24.9,-,0.56,19.69,83.21,328.46,148.41,0.24,0.09,0.45,4.74,3.09,71.31,-,9.34,0.14,0.09,0.1,0.31,24.9,0,0,-,71.65,168.18,91.27,37.03,124.25,96.56,111.92,50.09,93.94,58.84,31.8,103.39,287.61,542.14,16.51,160.02,142.12,20.84,1.74,0,0,0,0,0,0,1.2,0.5,0,0,0,2.3,0.1,0.7,5.2,0.6,0,0,0,0,0,0,0,0.05,0,0,0,1.13,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
274,D000465-ZZ-AVG,D000465,음식,품목대표,고추튀김,2019,전국(대표),평균,튀김류,채소류튀김,100,g,-,-,202,64.1,7.6,12.6,14.6,2.3,0.4,0.5,0.5,0,0.9,2.2,42.84,-,0.86,20.88,106.55,196.54,249.15,0.77,0.09,0.23,0.01,8.54,225.78,-,4.1,0.11,0.34,0.15,0.52,22.13,0.19,3.28,-,286.67,547.55,453.67,127.85,339.6,280.03,345.55,191.19,418.83,204.86,79.86,334.6,683.48,1532.04,310.54,358.58,348.51,35.91,2.7,0,0,0,0,0,0,1.9,0.7,0,0,0.1,3.5,0.2,0,5.7,0.6,0,0,0,0,0,0,0,0.1,0,0.1,0,1.2,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
275,D000468-ZZ-AVG,D000468,음식,품목대표,닭튀김,2019,전국(대표),평균,튀김류,육류튀김,300,g,-,-,903,130.9,65.2,49.7,48.8,1.5,0.9,0.2,0.4,0,0.1,4.5,39.8,-,2.18,90.49,748.08,947.2,1244.48,3.46,0.13,0.41,0.08,29.15,29.78,-,12.73,1.31,0.38,0.58,13.71,49.23,0.68,16.88,-,2773.29,4739.13,5177.57,1584.71,2466.01,2625.98,3045.22,1808.78,3943.28,1611.07,331.33,3405.37,5653.9,10962.23,2888.89,2701.49,2448.55,177.93,13,0,0,0,0,0,0.2,9.9,2.6,0.2,0,1.2,20.8,1.1,0.3,16.5,1.8,0.2,0,0.1,0.2,0,0,0,0.4,0.1,0.2,0,5.4,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
276,D000469-ZZ-AVG,D000469,음식,품목대표,등심돈가스,2019,전국(대표),평균,튀김류,육류튀김,200,g,-,-,623.83,88.25,32.99,37.54,38.49,3.66,0.43,0.89,1.07,0,1.28,1.96,35.35,-,1.33,45.42,345.66,497.42,574.08,2.49,0.2,0.31,0,10.86,30.91,-,15.19,1.02,0.91,0.31,8.29,0,0,0.12,-,1398.46,2503.51,2622.33,752.37,1349.04,1435.43,1531.14,1230.32,1929.56,820.63,220.13,1745.22,2887.33,7123.57,1478.36,1765.83,1462.9,98.16,9.12,0,0,0,0,0.1,0.2,6.7,2,0.1,0,0.2,10.3,0.6,0.1,14.3,1.6,0.1,0,0,0.1,0,0,0,0.26,0,0.1,0.1,2.72,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
277,D000470-112-AVG,D000470,음식,품목대표,모래집튀김,2019,대구광역시 중구,평균,튀김류,육류튀김,150,g,-,-,468.37,64.4,28.1,26.6,29.1,1.8,0.4,0.4,0,0,1,2,35.66,-,2.66,33.09,306.08,404.04,322.44,4.2,0.12,0.35,63.45,14.97,20.48,-,11.7,0.13,0.04,0.25,0,41.67,0,0.45,-,861.63,1781.76,1607.35,582.22,1036.1,1096.44,1034.94,531.96,1729.02,684.36,235.68,1588.35,2212.11,4324.89,2084.96,1530.75,1146.53,251.91,4.1,0,0,0,0,0,0.02,2.92,1.06,0.08,0,0.09,5.64,0.36,0.11,11.62,1.12,0.11,0.04,0.03,0.15,0,0.02,0.01,0.2,0.02,0.17,0.02,1.8,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
278,D000471-ZZ-AVG,D000471,음식,품목대표,미꾸라지튀김,2019,전국(대표),평균,튀김류,어패류튀김,100,g,-,-,387.49,32.1,10.89,25.39,28.85,0.3,0.03,0.05,0.11,0,0.12,3.46,536.58,-,1.34,29.5,437.92,173.35,324.47,1.35,0.09,0.43,0,0.38,128.92,-,4.34,0.09,0.01,0.26,0.65,0,0,0,-,381.45,822.01,736.98,230.07,449.33,440.77,455.51,219.46,580.08,214.53,63.89,609.62,915.87,2092.93,699.17,669.95,505.41,50.15,3.89,0,0,0,0,0,0,2.7,1.1,0.1,0,0.1,5.4,0.4,0.1,11.9,1.3,0.1,0,0,0,0,0,0.1,0.15,0,0.1,0,2.77,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
279,D000473-ZZ-AVG,D000473,음식,품목대표,생선까스,2019,전국(대표),평균,튀김류,어패류튀김,200,g,-,-,653.44,85.11,24.33,41.1,46.56,1.96,0.17,0.27,0.37,0.06,1.09,3.84,46.64,-,0.97,46.96,339.94,328,788.62,1.03,0.26,0.36,0,9.94,9.26,-,14.91,0.65,0.09,0.17,2.37,0,0,0,-,988.91,1851.31,1895.06,617.74,1036.08,996.92,1113.2,524.89,1441.5,709.4,210.76,1269.14,2132.25,5593.09,1111.61,1329.56,1158.23,72.72,7.96,0,0,0,0,0.1,0.1,5.8,1.7,0.1,0,0.1,10.2,0.7,0.2,16.8,2,0.1,0,0,0,0.1,0,0.2,0.25,0,0.2,0.1,2.9,-,외식영양성분자료집 통합본(2012-2017년),식품의약품안전처
