시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,평일 운영시간,주말 운영시간,무료주차 가능여부,발렛주차 가능여부,유아의자 대여여부,휠체어 보유여부,애완동물 동반입장 가능여부,채식메뉴 보유여부,할랄음식 여부,글루텐프리 음식여부,최종작성일
그리다아시아,음식점/유흥시설,동남아시아음식,"인도, 태국",서울특별시,종로구,적선동,,156 번지,새문안로5가길,28 번,37.574477,126.973646,3170,서울특별시 종로구 새문안로5가길 28,서울특별시 종로구 적선동  156,02-725-9982,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그린,음식점/유흥시설,동남아시아음식,베트남,경상북도,김천시,황금동,,90-1 번지,가산1길,29 번,36.11466,128.124017,39617,경상북도 김천시 가산1길 29,경상북도 김천시 황금동  90-1,054-430-5055,월-금 11시30분-20시,토 11시30분-20시30분,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그린,음식점/유흥시설,동남아시아음식,기타,광주광역시,광산구,월곡동,,534-4 번지,사암로279번길,16 번,35.169587,126.808177,62345,광주광역시 광산구 사암로279번길 16,광주광역시 광산구 월곡동  534-4,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그린다방,음식점/유흥시설,유럽음식,이탈리아,울산광역시,동구,방어동,,380-15 번지,꽃바위로,312 번,35.485163,129.422677,44110,울산광역시 동구 꽃바위로 312,울산광역시 동구 방어동  380-15,052-251-7111,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그린브로스샐러드,음식점/유흥시설,동남아시아음식,기타,서울특별시,성북구,하월곡동,,88-510 번지,동소문로46길,18 번,37.606854,127.029934,2733,서울특별시 성북구 동소문로46길 18,서울특별시 성북구 하월곡동  88-510,0507-1361-9436,월-금 11시-20시30분,토-일 11시-20시30분,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그린빠스타,음식점/유흥시설,유럽음식,이탈리아,광주광역시,서구,쌍촌동,,1255-8 번지,운천로92번길,11 번,35.140981,126.859892,62032,광주광역시 서구 운천로92번길 11,광주광역시 서구 쌍촌동  1255-8,0507-1386-6263,"월-목 11시-24시,금 11시-02시","토 11시-02시,일 11시-01시",무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그린올리브,음식점/유흥시설,유럽음식,이탈리아,충청북도,제천시,청전동,,834 번지,의림대로33길,59 번,37.14736,128.209377,27153,충청북도 제천시 의림대로33길 59,충청북도 제천시 청전동  834,043-651-2711,"월,수-금 11시-22시",토-일 11시-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그린하노이 구서점,음식점/유흥시설,동남아시아음식,베트남,부산광역시,금정구,구서동,,86-17 번지,금정로233번길,53 번,35.247047,129.090903,46243,부산광역시 금정구 금정로233번길 53,부산광역시 금정구 구서동  86-17,051-515-8526,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그린하노이 양정점,음식점/유흥시설,동남아시아음식,베트남,부산광역시,부산진구,양정동,,511-11 번지,양성로,98 번,35.17418,129.061787,47206,부산광역시 부산진구 양성로 98,부산광역시 부산진구 양정동  511-11,051-868-7089,월-금 11시30분-22시30분,토-일 11시30분-22시30분,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그린하노이 좌동점,음식점/유흥시설,동남아시아음식,베트남,부산광역시,해운대구,좌동,,1368-2 번지,좌동순환로,77 번,35.172615,129.166783,48084,부산광역시 해운대구 좌동순환로 77,부산광역시 해운대구 좌동  1368-2,051-746-3692,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그릴5타코,음식점/유흥시설,남미음식,멕시코,대구광역시,수성구,범어동,,547-34 번지,동대구로59길,14-14 번,35.858237,128.624066,42117,대구광역시 수성구 동대구로59길 14-14,대구광역시 수성구 범어동  547-34,0507-1408-2294,월-금 10시-22시,토 10시-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그릴파이브,음식점/유흥시설,남미음식,멕시코,서울특별시,강남구,신사동,,523-17 번지,강남대로162길,35 번,37.520758,127.021178,6028,서울특별시 강남구 강남대로162길 35,서울특별시 강남구 신사동  523-17,정보없음,정보없음,정보없음,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그림상회,음식점/유흥시설,유럽음식,이탈리아,제주특별자치도,서귀포시,표선면,토산리,1391-4 번지,중산간동로5570번길,9 번,33.326182,126.764916,63626,제주특별자치도 서귀포시 중산간동로5570번길 9,제주특별자치도 서귀포시 표선면 토산리 1391-4,064-787-7607,"월-화 12시-17시,수-목 13시-17시",휴무,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
그안에스케치북,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,청담동,,78-12 번지,압구정로,412 번,37.527151,127.04189,6014,서울특별시 강남구 압구정로 412,서울특별시 강남구 청담동  78-12,02-518-9636,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
근쌀남,음식점/유흥시설,동남아시아음식,베트남,제주특별자치도,제주시,한림읍,귀덕리,4043 번지,귀덕5길,33 번,33.441884,126.280097,63024,제주특별자치도 제주시 귀덕5길 33,제주특별자치도 제주시 한림읍 귀덕리 4043,0507-1491-2016,화-금 11시-16시,토-일 11시-16시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
금금,음식점/유흥시설,동아시아음식,중국,대구광역시,중구,삼덕동3가,,133-2 번지,동덕로30길,106 번,35.866093,128.609495,41946,대구광역시 중구 동덕로30길 106,대구광역시 중구 삼덕동3가  133-2,0507-1360-9416,"화-목 17시-01시,금 17시-02시","토 17시-02시,일 17시-01시",무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
금란볶음밥,음식점/유흥시설,동아시아음식,중국,경기도,구리시,갈매동,,530-3 번지,갈매순환로204번길,8-13 번,37.637047,127.122022,11901,경기도 구리시 갈매순환로204번길 8-13,경기도 구리시 갈매동  530-3,031-529-7003,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
금란이네,음식점/유흥시설,동남아시아음식,기타,충청북도,청주시 상당구,서운동,,89-8 번지,상당로,8-2 번,36.628825,127.491488,28715,충청북도 청주시 상당구 상당로 8-2,충청북도 청주시 상당구 서운동  89-8,0507-1448-8384,월-금 10시-22시,토-일 10시-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
금문도,음식점/유흥시설,동아시아음식,중국,인천광역시,계양구,작전동,,416-5 번지,효서로,268 번,37.527836,126.725764,21120,인천광역시 계양구 효서로 268,인천광역시 계양구 작전동 416-5 금문도,032-544-6665,월-금 11시-21시30분,토-일 11시-21시30분,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
금용문,음식점/유흥시설,동아시아음식,중국,서울특별시,종로구,내수동,,1 번지,새문안로5가길,7 번,37.572771,126.974038,3173,서울특별시 종로구 새문안로5가길 7,서울특별시 종로구 내수동 1 세종클럽,0507-1378-2502,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 가능,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
금토일샴페인빠,음식점/유흥시설,동남아시아음식,기타,서울특별시,용산구,한남동,,631-5 번지,대사관로34길,26 번,37.532088,127.005673,4402,서울특별시 용산구 대사관로34길 26,서울특별시 용산구 한남동  631-5,0507-1480-1068,월-금 17시-01시,토-일 15시-01시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
기네스72,음식점/유흥시설,동남아시아음식,기타,서울특별시,용산구,이태원동,,118-72 번지,이태원로27가길,58 번,37.534959,126.992095,4350,서울특별시 용산구 이태원로27가길 58,서울특별시 용산구 이태원동  118-72,0507-1348-2934,월-금 18시-01시,"토 16시-06시,일 17시-02시",무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장가능,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
기린초밥,음식점/유흥시설,동아시아음식,일본,전라북도,전주시 덕진구,중동,,774-5 번지,안전로,154 번,35.837725,127.058979,54871,전라북도 전주시 덕진구 안전로 154,전라북도 전주시 덕진구 중동 774-5,0507-1360-6811,월-금 11시-22시,토-일 11시-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
기소야 원주점,음식점/유흥시설,동아시아음식,일본,강원도,원주시,무실동,,1724-12 번지,만대로,7-1 번,37.341164,127.923842,26383,강원도 원주시 만대로 7-1,강원도 원주시 무실동 1724-12,0507-1384-8823,월-금 11시-20시30분,토-일 11시-20시30분,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
기욤,음식점/유흥시설,유럽음식,프랑스,서울특별시,강남구,청담동,,88-37 번지,선릉로152길,17 번,37.524371,127.041029,6014,서울특별시 강남구 선릉로152길 17,서울특별시 강남구 청담동 88-37 아시아청담부띠끄,02-512-6701,"월-목 11시-24시,금 11시-02시","토 10시-02시,일 10시-24시",무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴꼬리초밥,음식점/유흥시설,동아시아음식,일본,경기도,부천시,상동,,542-1 번지,상동로,84 번,37.504601,126.753389,14545,경기도 부천시 상동로 84,경기도 부천시 상동 542-1,032-326-7005,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴스시,음식점/유흥시설,동아시아음식,일본,서울특별시,용산구,이촌동,,301-162 번지,이촌로,319 번,37.517963,126.982327,4424,서울특별시 용산구 이촌로 319,서울특별시 용산구 이촌동 301-162 현대아파트,02-797-0141,월-금 12시-23시50분,토 12시-23시50분,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴자 백현점,음식점/유흥시설,동아시아음식,일본,경기도,성남시 분당구,백현동,,489-4 번지,판교백현로,37 번,37.38184,127.094971,13539,경기도 성남시 분당구 판교백현로 37,경기도 성남시 분당구 백현동 489-4,031-705-6606,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴자 서현점,음식점/유흥시설,동아시아음식,일본,경기도,성남시 분당구,서현동,,102-2 번지,새마을로,75 번,37.383475,127.138734,13573,경기도 성남시 분당구 새마을로 75,경기도 성남시 분당구 서현동 102-2,031-701-7774,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴자 수원인계점,음식점/유흥시설,동아시아음식,일본,경기도,수원시 팔달구,인계동,,950-9 번지,경수대로,494 번,37.269944,127.028367,16487,경기도 수원시 팔달구 경수대로 494,경기도 수원시 팔달구 인계동 950-9,031-236-7771,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴자 신영통점,음식점/유흥시설,동아시아음식,일본,경기도,수원시 영통구,망포동,,482-4 번지,봉영로,1377 번,37.237398,127.060433,16692,경기도 수원시 영통구 봉영로 1377,경기도 수원시 영통구 망포동 482-4,031-273-8213,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴자료코 부산센텀점,음식점/유흥시설,동아시아음식,일본,부산광역시,해운대구,우동,,1498 번지,센텀동로,9 번,35.170273,129.132452,48059,부산광역시 해운대구 센텀동로 9,부산광역시 해운대구 우동  1498,0507-1436-4799,11시-21시,11시-21시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴자인도레스토랑,음식점/유흥시설,인도아시아음식,인도,경기도,군포시,산본동,,1136 번지,산본로323번길,16-31 번,37.36011,126.931007,15865,경기도 군포시 산본로323번길 16-31,경기도 군포시 산본동  1136,031-392-2203,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴자인도레스토랑,음식점/유흥시설,동남아시아음식,인도,경기도,안산시 단원구,고잔동,,708-2 번지,광덕대로,151 번,37.310109,126.829031,15471,경기도 안산시 단원구 광덕대로 151,경기도 안산시 단원구 고잔동 708-2 삼영타운,031-405-3368,월-금 11시30분-22시,토-일 11시30분-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴자인도레스토랑,음식점/유흥시설,인도아시아음식,인도,경기도,안산시 상록구,사동,,1149-5 번지,한양대학로,45-1 번,37.300292,126.838659,15587,경기도 안산시 상록구 한양대학로 45-1,경기도 안산시 상록구 사동  1149-5,031-407-4456,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴자인도레스토랑,음식점/유흥시설,인도아시아음식,인도,경기도,안양시 동안구,호계동,,1048 번지,평촌대로217번길,19 번,37.390595,126.954839,14072,경기도 안양시 동안구 평촌대로217번길 19,경기도 안양시 동안구 호계동  1048,031-383-2223,"월 17시30분-22시,화-금 11시30분-22시",토-일 11시30분-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
긴타코,음식점/유흥시설,동아시아음식,일본,경기도,하남시,신장동,,616 번지,미사대로,750 번,37.545452,127.223773,12942,경기도 하남시 미사대로 750,경기도 하남시 신장동  616,031-8072-8277,월-금 10시-22시,토-일 10시-22시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
길거리쌀국수,음식점/유흥시설,동남아시아음식,베트남,서울특별시,동작구,노량진동,,148-87 번지,노량진로,174 번,37.513541,126.945348,6913,서울특별시 동작구 노량진로 174,서울특별시 동작구 노량진동  148-87,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
길리추팡,음식점/유흥시설,동아시아음식,중국,제주특별자치도,서귀포시,대포동,,771-5 번지,중문관광로,294 번,33.246281,126.429876,63544,제주특별자치도 서귀포시 중문관광로 294,제주특별자치도 서귀포시 대포동 771-5 페이퍼숲,0507-1487-7899,월-금 11시-22시,토-일 11시-22시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
길버트버거,음식점/유흥시설,북미음식,미국,서울특별시,강남구,신사동,,545-3 번지,도산대로15길,47 번,37.521261,127.023202,6033,서울특별시 강남구 도산대로15길 47,서울특별시 강남구 신사동 545-3,02-546-5453,월-금 11시30분-21시,토-일 11시30분-21시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
길조,음식점/유흥시설,동아시아음식,일본,경기도,양평군,강상면,병산리,181-5 번지,독배길,32-25 번,37.493595,127.473426,12571,경기도 양평군 강상면 독배길 32-25,경기도 양평군 강상면 병산리 181-5,031-774-7020,화-금 12시-21시,토-일 12시-21시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
김녕함바그집,음식점/유흥시설,동아시아음식,일본,제주특별자치도,제주시,구좌읍,김녕리,1223-9 번지,김녕로21길,9 번,33.556844,126.755347,63357,제주특별자치도 제주시 구좌읍 김녕로21길 9,제주특별자치도 제주시 구좌읍 김녕리 1223-9,0507-1314-1130,"월,수-금 11시-16시",토-일 11시-16시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장가능,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
김반미,음식점/유흥시설,동남아시아음식,베트남,경기도,광주시,경안동,,52-10 번지,경안안길,73-1 번,37.410268,127.257144,12755,경기도 광주시 경안안길 73-1,경기도 광주시 경안동  52-10,031-767-4202,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
김뽀티식당,음식점/유흥시설,동남아시아음식,기타,전라북도,정읍시,시기동,,197-29 번지,조곡천1길,24-1 번,35.568064,126.84743,56160,전라북도 정읍시 조곡천1길 24-1,전라북도 정읍시 시기동  197-29,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
김쉐프36개스시,음식점/유흥시설,동아시아음식,일본,대전광역시,동구,대동,,401-31 번지,동대전로,129 번,36.333772,127.445365,34609,대전광역시 동구 동대전로 129,대전광역시 동구 대동 401-31,042-622-3782,월-금 11시-24시,토-일 11시-24시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
김씨양꼬치,음식점/유흥시설,동아시아음식,중국,부산광역시,강서구,지사동,,1195-3 번지,과학산단2로20번길,14 번,35.150478,128.832187,46743,부산광역시 강서구 과학산단2로20번길 14,부산광역시 강서구 지사동  1195-3,051-973-9936,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
김씨화덕,음식점/유흥시설,유럽음식,이탈리아,경상남도,김해시,관동동,,1102-9 번지,율하카페길,85-9 번,35.176393,128.81366,51014,경상남도 김해시 율하카페길 85-9,경상남도 김해시 관동동  1102-9,055-322-5105,월-금 11시30분-21시30분,토-일 11시30분-21시30분,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
김태욱초밥참치,음식점/유흥시설,동아시아음식,일본,전라남도,여수시,웅천동,,1699-5 번지,예울마루로,35-38 번,34.74647,127.672399,59691,전라남도 여수시 예울마루로 35-38,전라남도 여수시 웅천동  1699-5,0507-1322-0183,월-금 11시-23시,토-일 11시-23시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
김파퍼베트남쌀국수,음식점/유흥시설,동남아시아음식,베트남,경기도,부천시,소사본동,,136 번지,소삼로,46 번,37.47813,126.797857,14701,경기도 부천시 소삼로 46,경기도 부천시 소사본동  136,정보없음,화-금 11시30분-20시,토-일 11시30분-20시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
김행,음식점/유흥시설,동남아시아음식,베트남,대구광역시,서구,비산동,,929-2 번지,서대구로62길,54 번,35.886022,128.562501,41720,대구광역시 서구 서대구로62길 54,대구광역시 서구 비산동  929-2,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
까델루뽀,음식점/유흥시설,유럽음식,이탈리아,서울특별시,종로구,효자동,,39-1 번지,자하문로16길,5-5 번,37.581827,126.971387,3042,서울특별시 종로구 자하문로16길 5-5,서울특별시 종로구 효자동  39-1,0507-1412-5233,월-금 12시-21시50분,토 12시-21시30분,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
까델지니,음식점/유흥시설,동남아시아음식,기타,인천광역시,연수구,송도동,,172-3 번지,송도과학로,56 번,37.381108,126.664077,21984,인천광역시 연수구 송도과학로 56,인천광역시 연수구 송도동  172-3,0507-1337-2931,월-금 11시-22시,토 11시-17시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
까르보네,음식점/유흥시설,유럽음식,이탈리아,서울특별시,서초구,양재동,,245-5 번지,언남1길,4 번,37.472304,127.040972,6778,서울특별시 서초구 언남1길 4,서울특별시 서초구 양재동  245-5,정보없음,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
까르보네 장유점,음식점/유흥시설,유럽음식,이탈리아,경상남도,김해시,부곡동,,1161-12 번지,능동로167번길,1 번,35.203161,128.808947,50981,경상남도 김해시 능동로167번길 1,경상남도 김해시 부곡동  1161-12,055-324-3369,정보없음,정보없음,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
까르보네 호매실점,음식점/유흥시설,유럽음식,이탈리아,경기도,수원시 권선구,금곡동,,1085 번지,금곡로102번길,15 번,37.273463,126.941955,16388,경기도 수원시 권선구 금곡로102번길 15,경기도 수원시 권선구 금곡동  1085,031-227-6577,화-금 11시-21시,토-일 11시-21시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
까리노,음식점/유흥시설,유럽음식,이탈리아,경기도,수원시 팔달구,인계동,,1039-3 번지,권광로207번길,29 번,37.266349,127.031702,16489,경기도 수원시 팔달구 권광로207번길 29,경기도 수원시 팔달구 인계동  1039-3,031-308-6911,월-금 08시-23시,토-일 08시-23시,무료주차 불가,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
까몬 광교앨리웨이점,음식점/유흥시설,동남아시아음식,기타,경기도,수원시 영통구,원천동,,593 번지,광교호수공원로,80 번,37.274446,127.062351,16514,경기도 수원시 영통구 광교호수공원로 80,경기도 수원시 영통구 원천동  593,0507-1419-0274,월-금 11시-21시,토-일 11시-21시,무료주차 가능,발렛주차 불가,유아의자 대여 불가,휠체어 대여 불가,반려동물 동반 입장불가,채식 메뉴 없음,할랄음식 메뉴 없음,글루텐프리 메뉴 없음,2022-11-30
